id,department_id,year_level,semester,course_code,course_title,lecture_hours,lab_hours,credits,plan_option1,6,Freshman,Semester 1,MATH 101,Calculus I,4,0,4,2
238,7,Freshman,Semester 1,ARC 102,Design Studio I,0,0,3,0
239,7,Freshman,Semester 1,ARC 113,Architectural Communication I,0,6,3,0
240,7,Freshman,Semester 1,ARC 121,Hisrory of Architecture I,3,0,3,0
241,7,Freshman,Semester 1,ENGL 101,Introduction to Academic Discourse,3,0,3,0
242,7,Freshman,Semester 1,IAS 111,Belief and its Consequences,2,0,2,0
243,7,Freshman,Semester 2,ARC 103,Design Studio II,0,0,3,0
244,7,Freshman,Semester 2,ARC 114,Architectural Communication II,0,6,3,0
245,7,Freshman,Semester 2,ARC 122,Historyof Architecture II,3,0,3,0
246,7,Freshman,Semester 2,ENGL 102,Introduction to Argument Writing,3,0,3,0
247,7,Freshman,Semester 2,MATH 106,Calculus for Business,3,0,3,0
248,7,Freshman,Semester 2,ICS 104,Introduction to Programming in Python and C,2,3,3,0
249,7,Freshman,Summer Semester,IAS 121,Language Foundation,2,0,2,0
250,7,Freshman,Summer Semester,PE 101,Physical Education III,0,2,1,0
251,7,Sophomore,Semester 1,ARC 204,Architecrural Design Studio lll,0,0,5,0
252,7,Sophomore,Semester 1,ARC 213,Digital Communication I,0,6,3,0
253,7,Sophomore,Semester 1,ARC 226,Theory of Archirecrure I,2,0,2,0
254,7,Sophomore,Semester 1,ARC 231,Structure in Architecture I,3,0,3,0
255,7,Sophomore,Semester 1,ARE 230,Building Materials and Construction Systems,3,3,4,0
256,7,Sophomore,Semester 2,ARC 205,Architectural Design Studio lV,0,0,5,0
257,7,Sophomore,Semester 2,ARC 214,Digital Communication ll,0,6,3,0
258,7,Sophomore,Semester 2,ARC 229,Theory of Architecture II,2,0,2,0
259,7,Sophomore,Semester 2,ARC 232,Structure in Architecture II,3,0,3,0
260,7,Sophomore,Semester 2,ISE 291,Introduction to Data Science,3,0,3,0
261,7,Sophomore,Semester 2,IAS 212,Ethics and Governance,2,0,2,0
262,7,Sophomore,Summer Semester,ENGL 214,Academic & Professional Communication,3,0,3,0
263,7,Junior,Semester 1,ARC 306,Architectural Design Studio V,0,0,5,0
264,7,Junior,Semester 1,ARC 355,Human Factors in Architecture,3,0,3,0
265,7,Junior,Semester 1,ARE 322,Building Mechanical Systems,2,3,3,0
266,7,Junior,Semester 1,COE 292,Introduction to Artificial Intelligence,3,0,3,0
267,7,Junior,Semester 1,BUS 200,Business & Entrepreneurship,3,0,3,0
268,7,Junior,Semester 2,ARC 307,Architectural Design Studio VI,0,0,5,0
269,7,Junior,Semester 2,ARC 345,Working Drawings,0,6,3,0
270,7,Junior,Semester 2,ARC 356,Principles of Sustainable Design,3,0,3,0
271,7,Junior,Semester 2,ARC 357,Urban Design,3,0,3,0
272,7,Junior,Semester 2,ARE 328,Architectural Acoustics & Illumination,3,0,3,0
273,7,Junior,Semester 2,CGS 392,Career Essentials,0,2,1,0
274,7,Junior,Summer Semester,ARC 399,Summer Training,0,0,2,0
275,7,Senior,Semester 1,ARC 401,Senior Project Preparation and Programming,3,0,3,0
