id,department_id,year_level,semester,course_code,course_title,lecture_hours,lab_hours,credits,plan_option
215,8,Graduate,N/A,Geotechnical Elective II,CE 5xx,0,0,0,0
216,8,Graduate,N/A,Thesis,CE 610,0,0,0,0
217,8,Graduate,N/A,CE Elective,CE 5xx,0,0,0,0
218,8,Graduate,N/A,Thesis,CE 610,0,0,0,0
219,8,Graduate,N/A,Technical Elective,XXX 5xx,0,0,0,0
220,8,Graduate,N/A,CE 501,Concrete Materials,0,0,0,0
221,8,Graduate,N/A,CE 511,Advanced Structural Analysis and Vibrations,0,0,0,0
222,8,Graduate,N/A,CE 510,Advanced Structural Mechanics,0,0,0,0
223,8,Graduate,N/A,CE 599,Seminar,0,0,0,0
224,8,Graduate,N/A,CE 610,Thesis,0,0,0,0
225,8,Graduate,N/A,"One of CE 521, 522, 523",CE Option Elective I,0,0,0,0
226,8,Graduate,N/A,From Structural Design / Mechanics / Materials,CE Option Elective II,0,0,0,0
227,8,Graduate,N/A,CE 517 (Structures Option) / CHE 501 or CE 5xx (Materials Option),Option Elective III,0,0,0,0
228,8,Graduate,N/A,MATH 513 (Structures Option) / MATH 560 (Materials Option),Math Elective,0,0,0,0
229,8,Graduate,N/A,XXX 5xx,Technical Elective,0,0,0,0
230,8,Graduate,N/A,Concrete Materials,CE 501,0,0,0,0
231,8,Graduate,N/A,Advanced Structural Analysis and Vibrations,CE 511,0,0,0,0
232,8,Graduate,N/A,Mathematics elective,MATH xxx,0,0,0,0
233,8,Graduate,N/A,Advanced Structural Mechanics,CE 510,0,0,0,0
234,8,Graduate,N/A,CE Option Elective I,CE 5xx,0,0,0,0
235,8,Graduate,N/A,CE Option Elective II,CE 5xx,0,0,0,0
236,8,Graduate,N/A,Seminar,CE 599,0,0,0,0
237,8,Graduate,N/A,Thesis,CE 610,0,0,0,0
238,8,Graduate,N/A,CE Option Elective III,XXX 5xx,0,0,0,0
239,8,Graduate,N/A,Thesis,CE 610,0,0,0,0
240,8,Graduate,N/A,Technical Elective,XXX 5xx,0,0,0,0
241,8,Graduate,N/A,Concrete Materials,CE 501,0,0,0,0
242,8,Graduate,N/A,Advanced Structural Analysis and Vibrations,CE 511,0,0,0,0
243,8,Graduate,N/A,Mathematics elective,MATH xxx,0,0,0,0
244,8,Graduate,N/A,Advanced Structural Mechanics,CE 510,0,0,0,0
245,8,Graduate,N/A,CE Option Elective I,CE 5xx,0,0,0,0
246,8,Graduate,N/A,CE Option Elective II,CE 5xx,0,0,0,0
247,8,Graduate,N/A,Seminar,CE 599,0,0,0,0
248,8,Graduate,N/A,Thesis,CE 610,0,0,0,0
249,8,Graduate,N/A,CE Option Elective III,XXX 5xx,0,0,0,0
250,8,Graduate,N/A,Thesis,CE 610,0,0,0,0
251,8,Graduate,N/A,Technical Elective,XXX 5xx,0,0,0,0
252,8,Graduate,N/A,MATH 560,Applied Regression and Experimental Design,0,0,0,0
253,8,Graduate,N/A,CE 574 (Pavement Engg Option) / 571 (Transportation Engg Option),Transportation Core I,0,0,0,0
254,8,Graduate,N/A,CE 579 (Pavement Engg Option) / 582 (Transportation Engg Option),Transportation Core II,0,0,0,0
255,8,Graduate,N/A,CE 599,Seminar,0,0,0,0
256,8,Graduate,N/A,CE 610,Thesis,0,0,0,0
257,8,Graduate,N/A,CE 5xx,Three Transportation Elective Courses,0,0,0,0
258,8,Graduate,N/A,CE xxx,One CE Elective Course,0,0,0,0
259,8,Graduate,N/A,XXX 5xx,One Technical Elective Course,0,0,0,0
260,8,Graduate,N/A,Applied Regression and Experimental Design,MATH 560,0,0,0,0
261,8,Graduate,N/A,Seminar,MATH 599,0,0,0,0
262,8,Graduate,N/A,Transportation Core I,CE 5xx,0,0,0,0
263,8,Graduate,N/A,Transportation Core II,CE 5xx,0,0,0,0
264,8,Graduate,N/A,Transportation Elective I,CE 5xx,0,0,0,0
265,8,Graduate,N/A,Transportation Elective II,CE 5xx,0,0,0,0
266,8,Graduate,N/A,Transportation Elective III,CE 5xx,0,0,0,0
267,8,Graduate,N/A,Thesis,CE 610,0,0,0,0
268,8,Graduate,N/A,CE Elective,CE xxx,0,0,0,0
269,8,Graduate,N/A,Thesis,CE 610,0,0,0,0
270,8,Graduate,N/A,Technical Elective,XXX 5xx,0,0,0,0
271,8,Graduate,N/A,Applied Regression and Experimental Design,MATH 560,0,0,0,0
272,8,Graduate,N/A,Seminar,MATH 599,0,0,0,0
273,8,Graduate,N/A,Transportation Core I,CE 5xx,0,0,0,0
274,8,Graduate,N/A,Transportation Core II,CE 5xx,0,0,0,0
275,8,Graduate,N/A,Transportation Elective I,CE 5xx,0,0,0,0
276,8,Graduate,N/A,Transportation Elective II,CE 5xx,0,0,0,0
277,8,Graduate,N/A,Transportation Elective III,CE 5xx,0,0,0,0
278,8,Graduate,N/A,Thesis,CE 610,0,0,0,0
279,8,Graduate,N/A,CE Elective,CE xxx,0,0,0,0
280,8,Graduate,N/A,Thesis,CE 610,0,0,0,0
281,8,Graduate,N/A,Technical Elective,XXX 5xx,0,0,0,0
282,8,Graduate,N/A,CE 533,Groundwater Flow and Contaminant Transport,0,0,0,0
283,8,Graduate,N/A,CE 599,Seminar,0,0,0,0
284,8,Graduate,N/A,CE 610,Thesis,0,0,0,0
285,8,Graduate,N/A,CE 531 or CE 541,Option Elective I,0,0,0,0
286,8,Graduate,N/A,CE 5xx,Two Option Elective Courses,0,0,0,0
287,8,Graduate,N/A,CE xxx,Two CE Elective Courses,0,0,0,0
288,8,Graduate,N/A,XXX 5xx,Technical Elective,0,0,0,0
289,8,Graduate,N/A,MATH 513 or MATH 560,Mathematics,0,0,0,0
290,8,Graduate,N/A,Groundwater Flow and Contaminant Transport,CE 533,0,0,0,0
291,8,Graduate,N/A,Math Elective,MATH 5xx,0,0,0,0
292,8,Graduate,N/A,Option Elective I,CE 5xx,0,0,0,0
293,8,Graduate,N/A,Seminar,CE 599,0,0,0,0
294,8,Graduate,N/A,Option Elective II,CE 5xx,0,0,0,0
295,8,Graduate,N/A,Option Elective III,CE 5xx,0,0,0,0
296,8,Graduate,N/A,CE Elective I,CE xxx,0,0,0,0
297,8,Graduate,N/A,Thesis,CE 610,0,0,0,0
298,8,Graduate,N/A,CE Elective II,CE xxx,0,0,0,0
299,8,Graduate,N/A,Thesis,CE 610,0,0,0,0
300,8,Graduate,N/A,Technical Elective,XXX 5xx,0,0,0,0
301,8,Graduate,N/A,Groundwater Flow and Contaminant Transport,CE 533,0,0,0,0
302,8,Graduate,N/A,Math Elective,MATH 5xx,0,0,0,0
303,8,Graduate,N/A,Option Elective I,CE 5xx,0,0,0,0
304,8,Graduate,N/A,Seminar,CE 599,0,0,0,0
305,8,Graduate,N/A,Option Elective II,CE 5xx,0,0,0,0
306,8,Graduate,N/A,Option Elective III,CE 5xx,0,0,0,0
307,8,Graduate,N/A,CE Elective I,CE xxx,0,0,0,0
308,8,Graduate,N/A,Thesis,CE 610,0,0,0,0
309,8,Graduate,N/A,CE Elective II,CE xxx,0,0,0,0
310,8,Graduate,N/A,Thesis,CE 610,0,0,0,0
311,8,Graduate,N/A,Technical Elective,XXX 5xx,0,0,0,0
312,24,Graduate,N/A,COE 5xx/COE 6xx,COE Course in Major Area (Depth),0,0,0,0
313,24,Graduate,N/A,COE 5xx/COE 6xx (from COE but not from the same COE major area),Other COE Major Areas (Breadth),0,0,0,0
314,24,Graduate,N/A,COE 699,Seminar,0,0,0,0
315,24,Graduate,N/A,COE 711,PhD. Pre-Dissertation,0,0,0,0
316,24,Graduate,N/A,COE 712,PhD. Dissertation,0,0,0,0
317,24,Graduate,N/A,"COE 701, COE 702 or courses from other departments: ICS, EE, SE and MATH",Elective Course,0,0,0,0
318,49,Graduate,N/A,ICS 553,Design and Theory of Algorithms (Core),0,0,0,0
319,49,Graduate,N/A,ICS 500,Research Methods & Experiment Design in Computing,0,0,0,0
320,49,Graduate,N/A,ICS 535,Design and Implementation of Programming Languages,0,0,0,0
321,49,Graduate,N/A,ICS 599,Seminar,0,0,0,0
322,49,Graduate,N/A,ICS 610,Thesis,0,0,0,0
323,49,Graduate,N/A,ICS xxx,Two ICS Courses in Major Are,0,0,0,0
324,49,Graduate,N/A,XXX xxx,Three General Elective Courses,0,0,0,0
325,49,Graduate,N/A,Design and Theory of Algorithms (Core),ICS 553,0,0,0,0
326,49,Graduate,N/A,Major Area Elective I,ICS xxx,0,0,0,0
327,49,Graduate,N/A,Research Methods & Experiment Design in Computing,ICS 500,0,0,0,0
328,49,Graduate,N/A,Design and Implementation of Programming Languages,ICS 535,0,0,0,0
329,49,Graduate,N/A,Major Area Elective II,ICS xxx,0,0,0,0
330,49,Graduate,N/A,General Elective I,XXX xxx,0,0,0,0
331,49,Graduate,N/A,General Elective II,XXX xxx,0,0,0,0
332,49,Graduate,N/A,General Elective III,XXX xxx,0,0,0,0
333,49,Graduate,N/A,Seminar,ICS 599,0,0,0,0
334,49,Graduate,N/A,Thesis,ICS 610,0,0,0,0
335,49,Graduate,N/A,Thesis,ICS 610,0,0,0,0
336,49,Graduate,N/A,Design and Theory of Algorithms (Core),ICS 553,0,0,0,0
337,49,Graduate,N/A,Major Area Elective I,ICS xxx,0,0,0,0
338,49,Graduate,N/A,Research Methods & Experiment Design in Computing,ICS 500,0,0,0,0
339,49,Graduate,N/A,Design and Implementation of Programming Languages,ICS 535,0,0,0,0
340,49,Graduate,N/A,Major Area Elective II,ICS xxx,0,0,0,0
341,49,Graduate,N/A,General Elective I,XXX xxx,0,0,0,0
342,49,Graduate,N/A,General Elective II,XXX xxx,0,0,0,0
343,49,Graduate,N/A,General Elective III,XXX xxx,0,0,0,0
344,49,Graduate,N/A,Seminar,ICS 599,0,0,0,0
345,49,Graduate,N/A,Thesis,ICS 610,0,0,0,0
346,49,Graduate,N/A,Thesis,ICS 610,0,0,0,0
347,49,Graduate,N/A,ICS 599,Seminar,0,0,0,0
